WTI Crude Oil Quarterly,Dates,Last Price
0,2018-12-31,62.86
1,2018-09-30,73.55
2,2018-06-30,74.29
3,2018-03-31,64.91
4,2017-12-31,60.1
5,2017-09-30,51.64
6,2017-06-30,46.33
7,2017-03-31,50.85
8,2016-12-31,53.89
9,2016-09-30,48.05
10,2016-06-30,48.4
11,2016-03-31,38.11
12,2015-12-31,37.07
13,2015-09-30,45.34
14,2015-06-30,59.4
15,2015-03-31,47.6
16,2014-12-31,53.27
17,2014-09-30,91.0
18,2014-06-30,105.37
19,2014-03-31,101.58
20,2013-12-31,98.42
21,2013-09-30,102.33
22,2013-06-30,96.56
23,2013-03-31,97.23
24,2012-12-31,91.82
25,2012-09-30,92.19
26,2012-06-30,84.96
27,2012-03-31,103.02
28,2011-12-31,98.83
29,2011-09-30,79.2
30,2011-06-30,95.42
31,2011-03-31,106.72
32,2010-12-31,91.38
33,2010-09-30,79.97
34,2010-06-30,75.63
35,2010-03-31,83.76
36,2009-12-31,79.36
37,2009-09-30,70.61
38,2009-06-30,69.89
39,2009-03-31,49.66
40,2008-12-31,44.6
41,2008-09-30,100.64
42,2008-06-30,140.0
43,2008-03-31,101.58
44,2007-12-31,95.98
45,2007-09-30,81.66
46,2007-06-30,70.68
47,2007-03-31,65.87
48,2006-12-31,61.05
49,2006-09-30,62.91
50,2006-06-30,73.93
51,2006-03-31,66.63
52,2005-12-31,61.04
53,2005-09-30,66.24
54,2005-06-30,56.5
55,2005-03-31,55.4
56,2004-12-31,43.45
57,2004-09-30,49.64
58,2004-06-30,37.05
59,2004-03-31,35.76
60,2003-12-31,32.52
61,2003-09-30,29.2
62,2003-06-30,30.19
63,2003-03-31,31.04
64,2002-12-31,31.2
65,2002-09-30,30.45
66,2002-06-30,26.86
67,2002-03-31,26.31
68,2001-12-31,19.84
69,2001-09-30,23.43
70,2001-06-30,26.25
71,2001-03-31,26.29
72,2000-12-31,26.8
73,2000-09-30,30.84
74,2000-06-30,32.5
75,2000-03-31,26.9
76,1999-12-31,25.6
77,1999-09-30,24.51
78,1999-06-30,19.29
79,1999-03-31,16.76
80,1998-12-31,12.05
81,1998-09-30,16.14
82,1998-06-30,14.18
83,1998-03-31,15.61
84,1997-12-31,17.64
85,1997-09-30,21.18
86,1997-06-30,19.8
87,1997-03-31,20.41
88,1996-12-31,25.92
89,1996-09-30,24.38
90,1996-06-30,20.92
91,1996-03-31,21.47
92,1995-12-31,19.55
93,1995-09-30,17.54
94,1995-06-30,17.4
95,1995-03-31,19.17
96,1994-12-31,17.76
97,1994-09-30,18.39
98,1994-06-30,19.37
99,1994-03-31,14.79
100,1993-12-31,14.17
101,1993-09-30,18.79
102,1993-06-30,18.85
103,1993-03-31,20.44
104,1992-12-31,19.5
105,1992-09-30,21.71
106,1992-06-30,21.6
107,1992-03-31,19.44
108,1991-12-31,19.12
109,1991-09-30,22.23
110,1991-06-30,20.56
111,1991-03-31,19.63
112,1990-12-31,28.44
113,1990-09-30,39.51
114,1990-06-30,17.07
115,1990-03-31,20.28
116,1989-12-31,21.82
117,1989-09-30,20.13
118,1989-06-30,20.27
119,1989-03-31,20.19
120,1988-12-31,17.24
121,1988-09-30,13.37
122,1988-06-30,15.16
123,1988-03-31,17.08
124,1987-12-31,16.7
125,1987-09-30,19.59
126,1987-06-30,20.29
127,1987-03-31,18.83
128,1986-12-31,17.94
129,1986-09-30,14.77
130,1986-06-30,12.78
131,1986-03-31,10.42
132,1985-12-31,26.3
133,1985-09-30,29.08
134,1985-06-30,26.87
135,1985-03-31,28.29
136,1984-12-31,26.41
137,1984-09-30,29.66
138,1984-06-30,29.75
139,1984-03-31,30.85
140,1983-12-31,29.6
141,1983-09-30,30.36
142,1983-06-30,31.38
143,1983-03-31,29.29
