GM,New Date,Revenue
113,2008-12-31,0.0
117,2009-12-31,32327.0
114,2009-3-31,22431.0
115,2009-6-30,23047.0
116,2009-9-30,26784.0
121,2010-12-31,36882.0
118,2010-3-31,31476.0
119,2010-6-30,33174.0
120,2010-9-30,34060.0
125,2011-12-31,37990.0
122,2011-3-31,36194.0
123,2011-6-30,39373.0
124,2011-9-30,36719.0
129,2012-12-31,39307.0
126,2012-3-31,37759.0
127,2012-6-30,37614.0
128,2012-9-30,37576.0
133,2013-12-31,40485.0
130,2013-3-31,36884.0
131,2013-6-30,39075.0
132,2013-9-30,38983.0
137,2014-12-31,39617.0
134,2014-3-31,37408.0
135,2014-6-30,39649.0
136,2014-9-30,39255.0
141,2015-12-31,22990.0
138,2015-3-31,35712.0
139,2015-6-30,38180.0
140,2015-9-30,38843.0
145,2016-12-31,39896.0
142,2016-3-31,37265.0
143,2016-6-30,37383.0
144,2016-9-30,38889.0
149,2017-12-31,37715.0
146,2017-3-31,37266.0
147,2017-6-30,36984.0
148,2017-9-30,33623.0
150,2018-3-31,36099.0
151,2018-6-30,36760.0
